lat,lon,alt,date,device,os,version
51.5002746582,-0.192137256265,18.4171981812,2017-02-10 16:34:08,"iPhone8,1",11.2.6,1
51.5085105896,-0.196035936475,27.2418003082,2017-02-10 16:40:32,"iPhone8,1",10.2.1,1.1
51.5085105896,-0.196035936475,27.2418003082,2017-02-10 16:40:32,"iPhone8,1",11.2.6,1
51.5134124756,-0.158303931355,25.1552715302,2017-02-10 16:46:56,"iPhone8,1",10.2.1,1.1
51.5134124756,-0.158303931355,25.1552715302,2017-02-10 16:46:56,"iPhone8,1",11.2.6,1
51.5173301697,-0.120421148837,28.7318267822,2017-02-10 16:53:20,"iPhone8,1",10.2.1,1.1
51.5173301697,-0.120421148837,28.7318267822,2017-02-10 16:53:20,"iPhone8,1",11.2.6,1
51.5273857117,-0.0554830990732,14.4637718201,2017-02-10 17:04:00,"iPhone8,1",10.2.1,1.1
51.5273857117,-0.0554830990732,14.4637718201,2017-02-10 17:04:00,"iPhone8,1",11.2.6,1
51.5346260071,-0.0476983822882,14.278087616,2017-02-10 17:16:48,"iPhone8,1",10.2.1,1.1
51.5346260071,-0.0476983822882,14.278087616,2017-02-10 17:16:48,"iPhone8,1",11.2.6,1
51.5385437012,-0.042945727706,13.9985980988,2017-02-10 17:50:56,"iPhone8,1",10.2.1,1.1
51.5385437012,-0.042945727706,13.9985980988,2017-02-10 17:50:56,"iPhone8,1",11.2.6,1
51.535900116,-0.0488029047847,15.2785482407,2017-02-10 18:08:00,"iPhone8,1",10.2.1,1.1
51.535900116,-0.0488029047847,15.2785482407,2017-02-10 18:08:00,"iPhone8,1",11.2.6,1
51.532749176,-0.0401103459299,11,2017-02-11 09:36:00,"iPhone8,1",10.2.1,1.1
51.532749176,-0.0401103459299,11,2017-02-11 09:36:00,"iPhone8,1",11.2.6,1
51.5413017273,-0.0476958863437,11,2017-02-11 10:46:24,"iPhone8,1",10.2.1,1.1
51.5413017273,-0.0476958863437,11,2017-02-11 10:46:24,"iPhone8,1",11.2.6,1
51.5448036194,-0.0553430058062,17.7253913879,2017-02-11 10:57:04,"iPhone8,1",10.2.1,1.1
51.5448036194,-0.0553430058062,17.7253913879,2017-02-11 10:57:04,"iPhone8,1",11.2.6,1
51.5402946472,-0.0526907853782,18.7578735352,2017-02-11 12:03:12,"iPhone8,1",10.2.1,1.1
51.5402946472,-0.0526907853782,18.7578735352,2017-02-11 12:03:12,"iPhone8,1",11.2.6,1
51.5374145508,-0.0492659248412,16.1977653503,2017-02-11 15:19:28,"iPhone8,1",10.2.1,1.1
51.5374145508,-0.0492659248412,16.1977653503,2017-02-11 15:19:28,"iPhone8,1",11.2.6,1
51.5411987305,-0.0493816398084,12.8519363403,2017-02-12 10:05:52,"iPhone8,1",10.2.1,1.1
51.5411987305,-0.0493816398084,12.8519363403,2017-02-12 10:05:52,"iPhone8,1",11.2.6,1
51.5433006287,-0.0430045984685,13.2384977341,2017-02-12 10:14:24,"iPhone8,1",10.2.1,1.1
51.5433006287,-0.0430045984685,13.2384977341,2017-02-12 10:14:24,"iPhone8,1",11.2.6,1
51.5465126038,-0.0192121397704,11.3471393585,2017-02-12 10:22:56,"iPhone8,1",10.2.1,1.1
51.5465126038,-0.0192121397704,11.3471393585,2017-02-12 10:22:56,"iPhone8,1",11.2.6,1
51.5418624878,-0.0108046662062,10.9859752655,2017-02-12 10:31:28,"iPhone8,1",10.2.1,1.1
51.5418624878,-0.0108046662062,10.9859752655,2017-02-12 10:31:28,"iPhone8,1",11.2.6,1
51.547908783,-0.0271730460227,10.9364948273,2017-02-12 12:18:08,"iPhone8,1",10.2.1,1.1
51.547908783,-0.0271730460227,10.9364948273,2017-02-12 12:18:08,"iPhone8,1",11.2.6,1
